Map Level Progress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Design Config,,,,,Metadata,,,,,,,Gameplay Data,,,,,,,Estimate,,Target,,Report,,,,,,,,,,,
1,10,1_10,0:100;1:81;2:100;3:48;5:100;6:29;7:100;13:66,1;2;1;1;3;1;2;3;1;1;3;3;2;3,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":12},""keyframes"":[{""x"":0,""y"":0.042577820277309386,""tangent"":0},{""x"":0.16261203585147246,""y"":0.5463650318327085,""tangent"":0},{""x"":0.45198463508322667,""y"":0.30277561086086713,""tangent"":0},{""x"":0.7567221510883482,""y"":0.67923198872644,""tangent"":0.06973729390725995},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":7},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Rainy,Hard,15,29,67,,,"0;0;0;13,13|0;0;0;0.3,0.5|0;0;0;0.6.2.3.5|0;0;0;0.1.2.3.5|0;0;0;0.1,13,0.3.2|0;0;0;0.2.3.5.6|0;60;1;0.5,0.1|0;0;0;0.1,13,0.3|0;0;0;0.5.1.2.6|0;60;1;0.5.2.1.6|0;0;0;0.1.5,0.2.5,0.1.2|0;0;0;0.2.3.5,0.2.1.5,0.2|0;0;0;0.2.5.1.6,0.6.2.3.1|0;60;1;0.1.3,0.3.5.2,0.5.1.2.3|0;0;0;0.2.3",",,,,,,,,,","0,3,0,2,2,1,0,0,3,0,2%5,0,3,2,2,5,0,0,0,5,3,5,0,5%6,13,0,0,1,1,1,0,2,1,-1,0,0,6,1,2,6,0%0,0,2,3,13,0,5,0,0,0,1,0,0,1%5,1,1,6,6,3,1,1,0,6,1",1;1;15;29;67;;,"0;0;0;13,13|0;0;0;0.3,0.5|0;0;0;0.6.2.3.5|0;0;0;0.1.2.3.5|0;0;0;0.1,13,0.3.2|0;0;0;0.2.3.5.6|0;60;1;0.5,0.1|0;0;0;0.1,13,0.3|0;0;0;0.5.1.2.6|0;60;1;0.5.2.1.6|0;0;0;0.1.5,0.2.5,0.1.2|0;0;0;0.2.3.5,0.2.1.5,0.2|0;0;0;0.2.5.1.6,0.6.2.3.1|0;60;1;0.1.3,0.3.5.2,0.5.1.2.3|0;0;0;0.2.3~,,,,,,,,,~0,3,0,2,2,1,0,0,3,0,2%5,0,3,2,2,5,0,0,0,5,3,5,0,5%6,13,0,0,1,1,1,0,2,1,-1,0,0,6,1,2,6,0%0,0,2,3,13,0,5,0,0,0,1,0,0,1%5,1,1,6,6,3,1,1,0,6,1",470,,00:03:21,,00:03:00,55%,,,,,,,,,174,53.54%,00:03:00,55.00%
1,11,1_11,0:30;1:19;2:20;3:25;5:22;6:17;7:100;8:100,1;1;2;2;1;1;2;3,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":9},""keyframes"":[{""x"":0,""y"":0.5519876569616751,""tangent"":0},{""x"":0.3623559539052497,""y"":0.3083982359898335,""tangent"":0},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Normal,Normal,9,14,39,8,,"0;0;0;0.5.1.2.3|0;0;0;0.3.5.2.1|0;0;0;7.8,7.8|0;0;0;0.3.1.6.2|0;0;0;0.6.1.3.5|0;0;0;0.2.3.5|0;0;0;7.8,7.8|0;0;0;0.1.6.3,0.1.3.6|0;0;0;0.5.1,7.8,0.5.6.3",",,,,,,,,,","1,2,1,7,7,1,1,6,7,6,6,3,7%5,8,0,8,6,6,0,5,8,8,3,1,1,0%0,0,3,7,1,3,0,2,8,0,0,5,0",0;0;9;14;39;8;,"0;0;0;0.5.1.2.3|0;0;0;0.3.5.2.1|0;0;0;7.8,7.8|0;0;0;0.3.1.6.2|0;0;0;0.6.1.3.5|0;0;0;0.2.3.5|0;0;0;7.8,7.8|0;0;0;0.1.6.3,0.1.3.6|0;0;0;0.5.1,7.8,0.5.6.3~,,,,,,,,,~1,2,1,7,7,1,1,6,7,6,6,3,7%5,8,0,8,6,6,0,5,8,8,3,1,1,0%0,0,3,7,1,3,0,2,8,0,0,5,0",295,,00:01:57,,00:01:30,100%,,,,,,,,,85,97.79%,00:01:30,100.00%
1,12,1_12,0:18;1:20;2:13;3:22;5:16;6:20;7:100;8:100;13:83,1;3;1;2;3;1;2;3;2;1;2;3;1;2;3,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":6},""keyframes"":[{""x"":0,""y"":0.8121854475452326,""tangent"":0},{""x"":0.20614596670934698,""y"":0.11463392385314164,""tangent"":0},{""x"":0.7157490396927018,""y"":1,""tangent"":0},{""x"":0.9948783610755442,""y"":0.20321189511562954,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Normal,Normal,15,31,53,,combined_slot,"0;0;0;0.3.1.2.6|0;0;0;7,13,7.8|0;0;0;0.3|0;0;0;13,7|0;0;0;13,13,7|0;0;0;0.3.2|0;0;0;7,7.8|0;0;0;7,7.8,7|0;0;0;7.8,0.3.6|0;0;0;0.1.5.2.3|0;0;0;0.2.6.1,7.8|0;0;0;7.8,13,7.8|0;0;0;0.3.1.2,0.2.5|0;0;0;7.8,7|0;0;0;13,13,13",",,,,,,,,,","1,7,7,8,13,3,7,8,7,6,13,2,8,6,7,1%3,2,13,1,0,0,7,3,8,7,0,-1,8,7,0,1,7,0%0,6,8,7,7,5,8,7,7,8,0,2,13,0,7,7$1-4,1-5;2-7,2-8;1-10,2-10;0-1,0-2$",0;0;15;31;53;;combined_slot,"0;0;0;0.3.1.2.6|0;0;0;7,13,7.8|0;0;0;0.3|0;0;0;13,7|0;0;0;13,13,7|0;0;0;0.3.2|0;0;0;7,7.8|0;0;0;7,7.8,7|0;0;0;7.8,0.3.6|0;0;0;0.1.5.2.3|0;0;0;0.2.6.1,7.8|0;0;0;7.8,13,7.8|0;0;0;0.3.1.2,0.2.5|0;0;0;7.8,7|0;0;0;13,13,13~,,,,,,,,,~1,7,7,8,13,3,7,8,7,6,13,2,8,6,7,1%3,2,13,1,0,0,7,3,8,7,0,-1,8,7,0,1,7,0%0,6,8,7,7,5,8,7,7,8,0,2,13,0,7,7$1-4,1-5;2-7,2-8;1-10,2-10;0-1,0-2$",235,,00:02:39,,00:02:00,95%,,,,,,,,,123,95.90%,00:02:00,95.00%
1,13,1_13,0:100;1:19;2:67;3:78;4:100;6:46;7:100;8:100,1;1;2;2;2;1;1;2;2;2,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":11},""keyframes"":[{""x"":0,""y"":0.19213964870781852,""tangent"":0},{""x"":0.27016645326504485,""y"":0.7346797226905559,""tangent"":0},{""x"":0.6619718309859155,""y"":0.43019294647575423,""tangent"":0},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Rainy,Normal,10,17,58,4,,"0;0;0;0.4.3|0;0;0;0.4.6.2.3|0;0;0;0.2.6.3.4,0.6.4|0;0;0;0.3.4.6,0.4.1.2|0;0;0;0.2.3,0.4.1.3|0;0;0;0.4.2.3.6|0;0;0;0.2.4.1.6|0;0;0;0.3.4,0.3.4.6|0;0;0;0.3.4.1.6,0.2.4.3.6|0;0;0;0.2.1.3.4,0.3.2.1.4,0.2.3.4",",,,,,,,,,","3,6,0,0,6,3,2,0,4,1,1,2,0%0,0,4,6,0,1,3,4,6,0,4,2,3,-1%0,0,6,6,0,2,0,0,6,6,3,1,4,-1%4,2,3,4,1,1,6,0,4,0,3,0,0$3-4,3-5;0-1,1-1;0-6,1-6;2-10,3-10;1-11,0-11$",1;0;10;17;58;4;,"0;0;0;0.4.3|0;0;0;0.4.6.2.3|0;0;0;0.2.6.3.4,0.6.4|0;0;0;0.3.4.6,0.4.1.2|0;0;0;0.2.3,0.4.1.3|0;0;0;0.4.2.3.6|0;0;0;0.2.4.1.6|0;0;0;0.3.4,0.3.4.6|0;0;0;0.3.4.1.6,0.2.4.3.6|0;0;0;0.2.1.3.4,0.3.2.1.4,0.2.3.4~,,,,,,,,,~3,6,0,0,6,3,2,0,4,1,1,2,0%0,0,4,6,0,1,3,4,6,0,4,2,3,-1%0,0,6,6,0,2,0,0,6,6,3,1,4,-1%4,2,3,4,1,1,6,0,4,0,3,0,0$3-4,3-5;0-1,1-1;0-6,1-6;2-10,3-10;1-11,0-11$",405,,00:02:54,,00:02:00,95%,,,,,,,,,116,97.13%,00:02:00,95.00%
1,14,1_14,0:100;1:100;2:37;3:33;4:100;5:24;6:94;7:100;8:100,1;1;2;1;1;2;1;3;1;3,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":9},""keyframes"":[{""x"":0,""y"":0.6405656282241627,""tangent"":0},{""x"":0.38028169014084506,""y"":0.24750088074687338,""tangent"":0},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":1},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Normal,Normal,11,17,50,,,"0;0;0;0.4.2.6.1|0;0;0;0.4.3.6.5|0;0;0;0.6.1,7|0;0;0;0.5.4|0;0;0;0.6.2|0;0;0;7.8,7.8|0;0;0;0.1.6.4.3|0;0;0;0.2.3.4|0;0;0;7.8,0.6,0.3.6|0;0;0;0.4.3.2.6|0;0;0;7,0.4.1,0.1.3.4.6",",,,,,,,,,","6,7,6,6,1,0,8%4,6,0,0,0,6,0,6,0%2,5,3,1,8,8,0,6,2,0,4,0%1,3,7,7,7,6,3,6,4%0,0,4,7,1,1,0$3-7,2-7,1-7;3-2,3-3,3-4;1-2,1-3,1-4;2-4,2-5$",0;0;11;17;50;;,"0;0;0;0.4.2.6.1|0;0;0;0.4.3.6.5|0;0;0;0.6.1,7|0;0;0;0.5.4|0;0;0;0.6.2|0;0;0;7.8,7.8|0;0;0;0.1.6.4.3|0;0;0;0.2.3.4|0;0;0;7.8,0.6,0.3.6|0;0;0;0.4.3.2.6|0;0;0;7,0.4.1,0.1.3.4.6~,,,,,,,,,~6,7,6,6,1,0,8%4,6,0,0,0,6,0,6,0%2,5,3,1,8,8,0,6,2,0,4,0%1,3,7,7,7,6,3,6,4%0,0,4,7,1,1,0$3-7,2-7,1-7;3-2,3-3,3-4;1-2,1-3,1-4;2-4,2-5$",315,,00:02:30,,00:01:00,100%,,,,,,,,,68,98.22%,00:01:00,100.00%
1,15,1_15,0:70;1:49;2:48;3:62;4:42;5:38;6:37;7:100;8:100;13:79,1;2;1;3;1;2;3;1;2;1;2;3,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":12},""keyframes"":[{""x"":0,""y"":0.11463392385314164,""tangent"":0},{""x"":0.2189500640204865,""y"":0.5907405193890133,""tangent"":0},{""x"":0.6005121638924455,""y"":0.34161497521326667,""tangent"":0},{""x"":0.8309859154929577,""y"":0.9505885276428697,""tangent"":0},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":10},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Rainy,Super Hard,12,22,64,,,"0;0;0;0.5|0;0;0;0.6.4,7|0;0;0;0.1.3.4.2|0;0;0;7.8,0.5.3,7.8|0;0;0;0.4.5.3.6.2|0;0;0;7.8,0.3.1.4|0;0;0;0.5,7.8,7|0;0;0;0.2.1.6.3|0;0;0;0.5.3.2,0.3.6.1.5|0;0;0;0.4.5.6.3|0;0;0;0.3.2.6.1,0.4.1.3.6|0;0;0;0.4.3,0.1.6.5.4,0.3.2.1",",,,,,,,,,","4,0,8,4,6,3,2,8,0,-1%0,7,6,6,7,0,7,0,0,3,6,1%6,0,1,4,1,5,5,5,4,1,0,2,6,5,3,0%6,3,0,0,0,7,1,1,8,8,6,3%0,7,1,2,0,1,0,0,7,3$4-8,3-8;1-5,2-5;3-2,4-2;1-1,1-0;0-5,0-6$",1;2;12;22;64;;,"0;0;0;0.5|0;0;0;0.6.4,7|0;0;0;0.1.3.4.2|0;0;0;7.8,0.5.3,7.8|0;0;0;0.4.5.3.6.2|0;0;0;7.8,0.3.1.4|0;0;0;0.5,7.8,7|0;0;0;0.2.1.6.3|0;0;0;0.5.3.2,0.3.6.1.5|0;0;0;0.4.5.6.3|0;0;0;0.3.2.6.1,0.4.1.3.6|0;0;0;0.4.3,0.1.6.5.4,0.3.2.1~,,,,,,,,,~4,0,8,4,6,3,2,8,0,-1%0,7,6,6,7,0,7,0,0,3,6,1%6,0,1,4,1,5,5,5,4,1,0,2,6,5,3,0%6,3,0,0,0,7,1,1,8,8,6,3%0,7,1,2,0,1,0,0,7,3$4-8,3-8;1-5,2-5;3-2,4-2;1-1,1-0;0-5,0-6$",415,,00:03:12,,00:02:30,45%,,,,,,,,,162,44.86%,00:02:30,45.00%
1,16,1_16,0:45;1:36;2:57;3:43;4:51;5:50;6:37;7:95,1;1;2;1;2;1;2;2;1;2;4,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":10},""keyframes"":[{""x"":0,""y"":0,""tangent"":0},{""x"":0.30601792573623554,""y"":0.6516378746319735,""tangent"":0},{""x"":0.6517285531370038,""y"":0.33607885200936105,""tangent"":0},{""x"":1,""y"":1,""tangent"":2}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Freeze,Normal,11,19,46,,frozen_ingredient,"0;0;0;7|0;0;0;0.6.4.3|0;0;0;0.4.1.5,7|0;0;0;0.6.5.3.2|0;0;0;0.6.4,0.1.2|0;0;0;0.5.1.4.6|0;0;0;0.5,0.2|0;0;0;0.3.4,7|0;0;0;0.1.3.6.2|0;0;0;0.2.5,0.4.5.6.3|0;0;0;0.5,0.5,0.4,0.4.3.2",",,,,,,,,,","4#1:3,0,5,4,6,0,1,6,0,0,5,0,7,0,0%6,6,3,0#1:3,7,6,3,1,4,5,0,6,1,2%0,7,0,2,1,0,5,0#1:3,2,3,4,0,0,0$0-4,0-5;2-7,2-8;0-9,0-10;2-11,1-11$",3;0;11;19;46;;frozen_ingredient,"0;0;0;7|0;0;0;0.6.4.3|0;0;0;0.4.1.5,7|0;0;0;0.6.5.3.2|0;0;0;0.6.4,0.1.2|0;0;0;0.5.1.4.6|0;0;0;0.5,0.2|0;0;0;0.3.4,7|0;0;0;0.1.3.6.2|0;0;0;0.2.5,0.4.5.6.3|0;0;0;0.5,0.5,0.4,0.4.3.2~,,,,,,,,,~4#1:3,0,5,4,6,0,1,6,0,0,5,0,7,0,0%6,6,3,0#1:3,7,6,3,1,4,5,0,6,1,2%0,7,0,2,1,0,5,0#1:3,2,3,4,0,0,0$0-4,0-5;2-7,2-8;0-9,0-10;2-11,1-11$",310,,00:02:18,,00:01:30,100%,,,,,,,,,90,97.56%,00:01:30,100.00%
1,17,1_17,0:100;1:39;2:47;3:68;4:49;5:58;6:43;7:69;8:51;13:99;16:100,0;0;0;0;0;0;0;0;0;0;0,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":12},""keyframes"":[{""x"":0,""y"":0.45233743929137626,""tangent"":0},{""x"":0.36491677336747763,""y"":0.14785066307657468,""tangent"":0},{""x"":0.6005121638924455,""y"":0.7236074762827449,""tangent"":0},{""x"":1,""y"":1,""tangent"":2}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Normal,Normal,14,29,62,16,,"0;0;0;13.16|0;0;0;13|0;0;0;0.3.1.2.5,0.2.5.4|0;0;0;7.8,0.4.5|0;0;0;0.4.6|0;0;0;0.4.3,13.16|0;0;0;0.5.4|0;0;0;0.4.1,0.5.3|0;0;0;13.16,0.5.2.3.6,0.5.1|0;0;0;0.4.1.5,7.8|0;0;0;0.3.5.6,0.6.3,7.8|0;0;0;13.16,13|0;0;0;0.6.3,0.5.4.1.3,0.1|0;0;0;0.4.5,0.1.5.3,0.4,0.3.2",",,,,#4:2:1,,,,,","0,3,0,5,8,0,0,0,0,5,2,8,6,0,1#3:2,3,5,1%16,2,5,0,0,13,5,1,16,6,1,7,0,5,6,0,3,6,7,4,3,13,0,0%13,1,4,4,7,6,4,0,4,3,0,0,1,0,0,8,0,1,0$2-13,2-14;0-9,0-10$",0;0;14;29;62;16;,"0;0;0;13.16|0;0;0;13|0;0;0;0.3.1.2.5,0.2.5.4|0;0;0;7.8,0.4.5|0;0;0;0.4.6|0;0;0;0.4.3,13.16|0;0;0;0.5.4|0;0;0;0.4.1,0.5.3|0;0;0;13.16,0.5.2.3.6,0.5.1|0;0;0;0.4.1.5,7.8|0;0;0;0.3.5.6,0.6.3,7.8|0;0;0;13.16,13|0;0;0;0.6.3,0.5.4.1.3,0.1|0;0;0;0.4.5,0.1.5.3,0.4,0.3.2~,,,,#4:2:1,,,,,~0,3,0,5,8,0,0,0,0,5,2,8,6,0,1#3:2,3,5,1%16,2,5,0,0,13,5,1,16,6,1,7,0,5,6,0,3,6,7,4,3,13,0,0%13,1,4,4,7,6,4,0,4,3,0,0,1,0,0,8,0,1,0$2-13,2-14;0-9,0-10$",395,,00:03:06,,00:01:30,95%,,,,,,,,,105,96.73%,00:01:30,95.00%
1,18,1_18,0:32;1:49;2:100;3:100;4:100;5:100;6:36;13:100;16:100,0;0;0;0;0;0;0;0;0;0;0;0;0,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":9},""keyframes"":[{""x"":0,""y"":0.45233743929137626,""tangent"":0},{""x"":0.2573623559539052,""y"":0.8952272956038149,""tangent"":0},{""x"":0.3956466069142126,""y"":0.1644590326882911,""tangent"":0},{""x"":0.6773367477592829,""y"":0.8454021867686655,""tangent"":0},{""x"":1,""y"":1,""tangent"":2}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Freeze,Normal,13,31,67,,,"0;0;0;0.3.5.2,0.5.3|0;0;0;0.4.2,0.3|0;0;0;0.1.4,0.6.2.3|0;0;0;13,0.5.1.2,0.6.4|0;0;0;0.4,0.2.5|0;0;0;0.3,13|0;0;0;0.5.2.3|0;0;0;0.1.4,0.5.4|0;0;0;0.3.2,0.5.2.4,13.16|0;0;0;0.3,0.5.2,0.4.3|0;0;0;0.6,0.5.3.2,0.2|0;0;0;0.5.3,13.16,0.3.5.1|0;0;0;0.2.5,0.2.4,0.4.2",",,,,,,,,,","0#1:3,2,3,3,6,5,0,5,1,0,2%0,2,0,0,0,4#1:3,0,-1,3,0,13,6%5,0,0,1,13,2,0,16,4,1,0,3,2,0,4,0,0%0,4,0,4#1:3,1,6,5,2,-1,0,3,0%5,3,2,0,0,0,0,0,5,0,0$1-5,1-6;4-7,4-8,4-9$2-9,3-7;0-2,1-3",3;0;13;31;67;;,"0;0;0;0.3.5.2,0.5.3|0;0;0;0.4.2,0.3|0;0;0;0.1.4,0.6.2.3|0;0;0;13,0.5.1.2,0.6.4|0;0;0;0.4,0.2.5|0;0;0;0.3,13|0;0;0;0.5.2.3|0;0;0;0.1.4,0.5.4|0;0;0;0.3.2,0.5.2.4,13.16|0;0;0;0.3,0.5.2,0.4.3|0;0;0;0.6,0.5.3.2,0.2|0;0;0;0.5.3,13.16,0.3.5.1|0;0;0;0.2.5,0.2.4,0.4.2~,,,,,,,,,~0#1:3,2,3,3,6,5,0,5,1,0,2%0,2,0,0,0,4#1:3,0,-1,3,0,13,6%5,0,0,1,13,2,0,16,4,1,0,3,2,0,4,0,0%0,4,0,4#1:3,1,6,5,2,-1,0,3,0%5,3,2,0,0,0,0,0,5,0,0$1-5,1-6;4-7,4-8,4-9$2-9,3-7;0-2,1-3",355,,00:03:21,,00:02:00,95%,,,,,,,,,114,96.72%,00:02:00,95.00%
1,19,1_19,0:100;1:100;2:100;5:100;6:100;13:100;16:100,1;1;1;0;1;1;2;2;1,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":6},""keyframes"":[{""x"":0,""y"":0.09248943103751983,""tangent"":0},{""x"":0.2573623559539052,""y"":0.8952272956038149,""tangent"":0},{""x"":0.6875800256081946,""y"":0.9284440348272478,""tangent"":0},{""x"":1,""y"":0.34161497521326667,""tangent"":2}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Freeze,Normal,9,12,31,,frozen_grid,"0;0;0;13|0;0;0;0.2.5|0;0;0;0.6.5.2.1|0;0;0;0.6.5,0.1.2|0;0;0;0.2.1.5.6|0;0;0;0.5.2.6.1|0;0;0;0.6,0.6.5|0;0;0;0.5,13|0;0;0;0.2.5","#2:5,,,,#2:3,,,,,","0,13#1:3,5,0,6,5,0,6,0%0,0,1,-1,6,1,6,0,6,2,6%2,1,2,0,0,5,0,1,5$2-3,2-4;0-5,0-6,0-7$",3;0;9;12;31;;frozen_grid,"0;0;0;13|0;0;0;0.2.5|0;0;0;0.6.5.2.1|0;0;0;0.6.5,0.1.2|0;0;0;0.2.1.5.6|0;0;0;0.5.2.6.1|0;0;0;0.6,0.6.5|0;0;0;0.5,13|0;0;0;0.2.5~#2:5,,,,#2:3,,,,,~0,13#1:3,5,0,6,5,0,6,0%0,0,1,-1,6,1,6,0,6,2,6%2,1,2,0,0,5,0,1,5$2-3,2-4;0-5,0-6,0-7$",240,,00:01:33,,00:01:30,100%,,,,,,,,,101,97.83%,00:01:30,100.00%
1,20,1_20,0:100;1:73;2:51;3:69;4:57;5:67;6:50;7:100;8:100;13:100;16:100,1;2;3;3;2;2;2;3;3;2;1;4;1;3;2;5;5,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":15},""keyframes"":[{""x"":0,""y"":0.09248943103751983,""tangent"":0},{""x"":0.17541613316261206,""y"":0.6183346334834797,""tangent"":0},{""x"":0.3956466069142126,""y"":0.2861672412491506,""tangent"":0},{""x"":0.5518565941101152,""y"":0.67923198872644,""tangent"":0},{""x"":0.7131882202304738,""y"":0.13115579153979728,""tangent"":0},{""x"":0.8028169014084507,""y"":0.9781826417373362,""tangent"":0},{""x"":1,""y"":1,""tangent"":2}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":7},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Freeze,Hard,18,43,116,,,"0;0;0;0.5.3|0;0;0;0.1.2.3|0;0;0;7.8,0.2|0;0;0;0.5.4.1,7.8,0.2|0;0;0;0.4.2,0.6.3.4.1|0;0;0;0.3.2.5.6|0;0;0;0.1.2.6,0.3|0;0;0;0.2.4.5,7|0;0;0;0.6.4.1,13,7|0;0;0;0.1.6.4,0.4.3,7.8|0;0;0;0.6.2.4.5,0.3.5.1.2|0;0;0;0.4.5.3.6|0;0;0;7.8,7,13.16,13|0;0;0;0.3.6.4.1|0;0;0;0.2.5.1.3,0.3.4.5.1,0.1.2.3.6|0;0;0;0.1.2.5.6,0.3.1.5.2|0;0;0;13.16,0.1.2.5,7,0.1.4.6.5,0.3.2|0;0;0;0.3.2.6.1,0.1.4.2,0.6.5.4,0.3,0.2","#2:3,#2:2,#2:1,#2:2,#2:3,,,,,","5,8,6,7,-1,0,2,1,2,3,0,6,1,4,1,6,6,0,1,3,6%3#1:3,7,1,5,3,8,6,0,13,-1,0,0,2#1:3,0,3,0,3,1,1,0,0,1%0,2,13,4,6,2,4,0,4,3,0,5,6,0,5,5,0,1,2,1,0,2,5,2,0%1#1:3,0,0,7,0,0,1#1:3,7,1,1,7,7,7,-1,0,1,4,16#1:2,0,7,0,4%0,3,0,8,5,0,0,-1,6,0,6,0,0,6,4,8,2,1,1,6,6$0-6,0-7,0-5;4-5,4-6$1-8,2-11;0-15,1-16,2-17",3;1;18;43;116;;,"0;0;0;0.5.3|0;0;0;0.1.2.3|0;0;0;7.8,0.2|0;0;0;0.5.4.1,7.8,0.2|0;0;0;0.4.2,0.6.3.4.1|0;0;0;0.3.2.5.6|0;0;0;0.1.2.6,0.3|0;0;0;0.2.4.5,7|0;0;0;0.6.4.1,13,7|0;0;0;0.1.6.4,0.4.3,7.8|0;0;0;0.6.2.4.5,0.3.5.1.2|0;0;0;0.4.5.3.6|0;0;0;7.8,7,13.16,13|0;0;0;0.3.6.4.1|0;0;0;0.2.5.1.3,0.3.4.5.1,0.1.2.3.6|0;0;0;0.1.2.5.6,0.3.1.5.2|0;0;0;13.16,0.1.2.5,7,0.1.4.6.5,0.3.2|0;0;0;0.3.2.6.1,0.1.4.2,0.6.5.4,0.3,0.2~#2:3,#2:2,#2:1,#2:2,#2:3,,,,,~5,8,6,7,-1,0,2,1,2,3,0,6,1,4,1,6,6,0,1,3,6%3#1:3,7,1,5,3,8,6,0,13,-1,0,0,2#1:3,0,3,0,3,1,1,0,0,1%0,2,13,4,6,2,4,0,4,3,0,5,6,0,5,5,0,1,2,1,0,2,5,2,0%1#1:3,0,0,7,0,0,1#1:3,7,1,1,7,7,7,-1,0,1,4,16#1:2,0,7,0,4%0,3,0,8,5,0,0,-1,6,0,6,0,0,6,4,8,2,1,1,6,6$0-6,0-7,0-5;4-5,4-6$1-8,2-11;0-15,1-16,2-17",680,,00:05:48,,00:05:30,65%,,,,,,,,,343,63.79%,00:05:30,65.00%
1,21,1_21,,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Normal,Normal,1,1,0,,,,",,,,,,,,,",,0;0;1;1;0;;,"~,,,,,,,,,~",0,,00:00:00,,00:01:30,100%,,,,,,,,,91,98.07%,00:01:30,100.00%
1,22,1_22,,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Normal,Normal,1,1,0,,,,",,,,,,,,,",,0;0;1;1;0;;,"~,,,,,,,,,~",0,,00:00:00,,00:01:30,90%,,,,,,,,,96,90.61%,00:01:30,90.00%
1,23,1_23,,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Normal,Normal,1,1,0,,,,",,,,,,,,,",,0;0;1;1;0;;,"~,,,,,,,,,~",0,,00:00:00,,00:03:30,95%,,,,,,,,,210,95.48%,00:03:30,95.00%
1,24,1_24,,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Normal,Normal,1,1,0,,,,",,,,,,,,,",,0;0;1;1;0;;,"~,,,,,,,,,~",0,,00:00:00,,00:03:00,95%,,,,,,,,,192,94.44%,00:03:00,95.00%
