Level_ID,Name,Weather,LevelTag,FeatureUnlock,ShuffleDistance,ServeableSlots,QueueString,GridString,CustomerString,OutOfSlotPolicy,BoosterCharges,IngredientWeights,CustomerDishesSequence,ComplexityCurve,ShuffleCurve,DesignNote
11,1_11,Normal,Normal,,0,2,"1,2,1,7,7,1,1,6,7,6,6,3,7%5,8,0,8,6,6,0,5,8,8,3,1,1,0%0,0,3,7,1,3,0,2,8,0,0,5,0",",,,,,,,,,","0;0;0;{c0:100.{g0:105.101.102.103}}|0;0;0;{c0:100.{g0:103.105.102.101}}|0;0;0;{c1:107.8},{c1:107.8}|0;0;0;{c0:100.{g0:103.101.106.102}}|0;0;0;{c0:100.{g0:106.101.103.105}}|0;0;0;{c0:100.{g0:102.103.105}}|0;0;0;{c1:107.8},{c1:107.8}|0;0;0;{c0:100.{g0:101.106.103}},{c0:100.{g0:101.103.106}}|0;0;0;{c0:100.{g0:105.101}},{c1:107.8},{c0:100.{g0:105.106.103}}",,,0:30;1:19;2:20;3:25;5:22;6:17;7:100;8:100,1;1;2;2;1;1;2;3,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":9},""keyframes"":[{""x"":0,""y"":0.5519876569616751,""tangent"":0},{""x"":0.3623559539052497,""y"":0.3083982359898335,""tangent"":0},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",
12,1_12,Normal,Normal,,0,2,"1,7,7,8,13,3,7,8,7,6,13,2,8,6,7,1%3,2,13,1,0,0,7,3,8,7,0,-1,8,7,0,1,7,0%0,6,8,7,7,5,8,7,7,8,0,2,13,0,7,7$1-4,1-5;2-7,2-8;1-10,2-10;0-1,0-2$",",,,,,,,,,","0;0;0;{c0:100.{g0:103.101.102.106}}|0;0;0;{c1:107},{c2:{g1:112}},{c1:107.8}|0;0;0;{c0:100.{g0:103}}|0;0;0;{c2:{g1:112}},{c1:107}|0;0;0;{c2:{g1:112}},{c2:{g1:112}},{c1:107}|0;0;0;{c0:100.{g0:103.102}}|0;0;0;{c1:107},{c1:107.8}|0;0;0;{c1:107},{c1:107.8},{c1:107}|0;0;0;{c1:107.8},{c0:100.{g0:103.106}}|0;0;0;{c0:100.{g0:101.105.102.103}}|0;0;0;{c0:100.{g0:102.106.101}},{c1:107.8}|0;0;0;{c1:107.8},{c2:{g1:112}},{c1:107.8}|0;0;0;{c0:100.{g0:103.101.102}},{c0:100.{g0:102.105}}|0;0;0;{c1:107.8},{c1:107}|0;0;0;{c2:{g1:112}},{c2:{g1:112}},{c2:{g1:112}}",,,0:18;1:20;2:13;3:22;5:16;6:20;7:100;8:100;13:83,1;3;1;2;3;1;2;3;2;1;2;3;1;2;3,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":6},""keyframes"":[{""x"":0,""y"":0.8121854475452326,""tangent"":0},{""x"":0.20614596670934698,""y"":0.11463392385314164,""tangent"":0},{""x"":0.7157490396927018,""y"":1,""tangent"":0},{""x"":0.9948783610755442,""y"":0.20321189511562954,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",
13,1_13,Rainy,Normal,,0,2,"3,6,0,0,6,3,2,0,4,1,1,2,0%0,0,4,6,0,1,3,4,6,0,4,2,3,-1%0,0,6,6,0,2,0,0,6,6,3,1,4,-1%4,2,3,4,1,1,6,0,4,0,3,0,0$3-4,3-5;0-1,1-1;0-6,1-6;2-10,3-10;1-11,0-11$",",,,,,,,,,","0;0;0;{c0:100.{g0:104.103}}|0;0;0;{c0:100.{g0:104.106.102.103}}|0;0;0;{c0:100.{g0:102.106.103.104}},{c0:100.{g0:106.104}}|0;0;0;{c0:100.{g0:103.104.106}},{c0:100.{g0:104.101.102}}|0;0;0;{c0:100.{g0:102.103}},{c0:100.{g0:104.101.103}}|0;0;0;{c0:100.{g0:104.102.103.106}}|0;0;0;{c0:100.{g0:102.104.101.106}}|0;0;0;{c0:100.{g0:103.104}},{c0:100.{g0:103.104.106}}|0;0;0;{c0:100.{g0:103.104.101.106}},{c0:100.{g0:102.104.103.106}}|0;0;0;{c0:100.{g0:102.101.103.104}},{c0:100.{g0:103.102.101.104}},{c0:100.{g0:102.103.104}}",,,0:100;1:19;2:67;3:78;4:100;6:46;7:100;8:100,1;1;2;2;2;1;1;2;2;2,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":11},""keyframes"":[{""x"":0,""y"":0.19213964870781852,""tangent"":0},{""x"":0.27016645326504485,""y"":0.7346797226905559,""tangent"":0},{""x"":0.6619718309859155,""y"":0.43019294647575423,""tangent"":0},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",
14,1_14,Normal,Normal,,0,2,"6,7,6,6,1,0,8%4,6,0,0,0,6,0,6,0%2,5,3,1,8,8,0,6,2,0,4,0%1,3,7,7,7,6,3,6,4%0,0,4,7,1,1,0$3-7,2-7,1-7;3-2,3-3,3-4;1-2,1-3,1-4;2-4,2-5$",",,,,,,,,,","0;0;0;{c0:100.{g0:104.102.106.101}}|0;0;0;{c0:100.{g0:104.103.106.105}}|0;0;0;{c0:100.{g0:106.101}},{c1:107}|0;0;0;{c0:100.{g0:105.104}}|0;0;0;{c0:100.{g0:106.102}}|0;0;0;{c1:107.8},{c1:107.8}|0;0;0;{c0:100.{g0:101.106.104.103}}|0;0;0;{c0:100.{g0:102.103.104}}|0;0;0;{c1:107.8},{c0:100.{g0:106}},{c0:100.{g0:103.106}}|0;0;0;{c0:100.{g0:104.103.102.106}}|0;0;0;{c1:107},{c0:100.{g0:104.101}},{c0:100.{g0:101.103.104.106}}",,,0:100;1:100;2:37;3:33;4:100;5:24;6:94;7:100;8:100,1;1;2;1;1;2;1;3;1;3,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":9},""keyframes"":[{""x"":0,""y"":0.6405656282241627,""tangent"":0},{""x"":0.38028169014084506,""y"":0.24750088074687338,""tangent"":0},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":1},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",
15,1_15,Rainy,Super Hard,,0,2,"4,0,8,4,6,3,2,8,0,-1%0,7,6,6,7,0,7,0,0,3,6,1%6,0,1,4,1,5,5,5,4,1,0,2,6,5,3,0%6,3,0,0,0,7,1,1,8,8,6,3%0,7,1,2,0,1,0,0,7,3$4-8,3-8;1-5,2-5;3-2,4-2;1-1,1-0;0-5,0-6$",",,,,,,,,,","0;0;0;{c0:100.{g0:105}}|0;0;0;{c0:100.{g0:106.104}},{c1:107}|0;0;0;{c0:100.{g0:101.103.104.102}}|0;0;0;{c1:107.8},{c0:100.{g0:105.103}},{c1:107.8}|0;0;0;{c0:100.{g0:104.105.103.106.102}}|0;0;0;{c1:107.8},{c0:100.{g0:103.101.104}}|0;0;0;{c0:100.{g0:105}},{c1:107.8},{c1:107}|0;0;0;{c0:100.{g0:102.101.106.103}}|0;0;0;{c0:100.{g0:105.103.102}},{c0:100.{g0:103.106.101.105}}|0;0;0;{c0:100.{g0:104.105.106.103}}|0;0;0;{c0:100.{g0:103.102.106.101}},{c0:100.{g0:104.101.103.106}}|0;0;0;{c0:100.{g0:104.103}},{c0:100.{g0:101.106.105.104}},{c0:100.{g0:103.102.101}}",,,0:70;1:49;2:48;3:62;4:42;5:38;6:37;7:100;8:100;13:79,1;2;1;3;1;2;3;1;2;1;2;3,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":12},""keyframes"":[{""x"":0,""y"":0.11463392385314164,""tangent"":0},{""x"":0.2189500640204865,""y"":0.5907405193890133,""tangent"":0},{""x"":0.6005121638924455,""y"":0.34161497521326667,""tangent"":0},{""x"":0.8309859154929577,""y"":0.9505885276428697,""tangent"":0},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":10},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",
16,1_16,Freeze,Normal,,0,2,"4#1:3,0,5,4,6,0,1,6,0,0,5,0,7,0,0%6,6,3,0#1:3,7,6,3,1,4,5,0,6,1,2%0,7,0,2,1,0,5,0#1:3,2,3,4,0,0,0$0-4,0-5;2-7,2-8;0-9,0-10;2-11,1-11$",",,,,,,,,,","0;0;0;{c1:107}|0;0;0;{c0:100.{g0:106.104.103}}|0;0;0;{c0:100.{g0:104.101.105}},{c1:107}|0;0;0;{c0:100.{g0:106.105.103.102}}|0;0;0;{c0:100.{g0:106.104}},{c0:100.{g0:101.102}}|0;0;0;{c0:100.{g0:105.101.104.106}}|0;0;0;{c0:100.{g0:105}},{c0:100.{g0:102}}|0;0;0;{c0:100.{g0:103.104}},{c1:107}|0;0;0;{c0:100.{g0:101.103.106.102}}|0;0;0;{c0:100.{g0:102.105}},{c0:100.{g0:104.105.106.103}}|0;0;0;{c0:100.{g0:105}},{c0:100.{g0:105}},{c0:100.{g0:104}},{c0:100.{g0:104.103.102}}",,,0:45;1:36;2:57;3:43;4:51;5:50;6:37;7:95,1;1;2;1;2;1;2;2;1;2;4,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":10},""keyframes"":[{""x"":0,""y"":0,""tangent"":0},{""x"":0.30601792573623554,""y"":0.6516378746319735,""tangent"":0},{""x"":0.6517285531370038,""y"":0.33607885200936105,""tangent"":0},{""x"":1,""y"":1,""tangent"":2}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",
17,1_17,Normal,Normal,,0,2,"0,3,0,5,8,0,0,0,0,5,2,8,6,0,1#3:2,3,5,1%16,2,5,0,0,13,5,1,16,6,1,7,0,5,6,0,3,6,7,4,3,13,0,0%13,1,4,4,7,6,4,0,4,3,0,0,1,0,0,8,0,1,0$2-13,2-14;0-9,0-10$",",,,,#4:2:1,,,,,","0;0;0;{c2:{g1:112}.{g2:16}}|0;0;0;{c2:{g1:112}}|0;0;0;{c0:100.{g0:103.101.102.105}},{c0:100.{g0:102.105.104}}|0;0;0;{c1:107.8},{c0:100.{g0:104.105}}|0;0;0;{c0:100.{g0:104.106}}|0;0;0;{c0:100.{g0:104.103}},{c2:{g1:112}.{g2:16}}|0;0;0;{c0:100.{g0:105.104}}|0;0;0;{c0:100.{g0:104.101}},{c0:100.{g0:105.103}}|0;0;0;{c2:{g1:112}.{g2:16}},{c0:100.{g0:105.102.103.106}},{c0:100.{g0:105.101}}|0;0;0;{c0:100.{g0:104.101.105}},{c1:107.8}|0;0;0;{c0:100.{g0:103.105.106}},{c0:100.{g0:106.103}},{c1:107.8}|0;0;0;{c2:{g1:112}.{g2:16}},{c2:{g1:112}}|0;0;0;{c0:100.{g0:106.103}},{c0:100.{g0:105.104.101.103}},{c0:100.{g0:101}}|0;0;0;{c0:100.{g0:104.105}},{c0:100.{g0:101.105.103}},{c0:100.{g0:104}},{c0:100.{g0:103.102}}",,,0:100;1:39;2:47;3:68;4:49;5:58;6:43;7:69;8:51;13:99;16:100,0;0;0;0;0;0;0;0;0;0;0,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":12},""keyframes"":[{""x"":0,""y"":0.45233743929137626,""tangent"":0},{""x"":0.36491677336747763,""y"":0.14785066307657468,""tangent"":0},{""x"":0.6005121638924455,""y"":0.7236074762827449,""tangent"":0},{""x"":1,""y"":1,""tangent"":2}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",
18,1_18,Freeze,Normal,,0,2,"0#1:3,2,3,3,6,5,0,5,1,0,2%0,2,0,0,0,4#1:3,0,-1,3,0,13,6%5,0,0,1,13,2,0,16,4,1,0,3,2,0,4,0,0%0,4,0,4#1:3,1,6,5,2,-1,0,3,0%5,3,2,0,0,0,0,0,5,0,0$1-5,1-6;4-7,4-8,4-9$2-9,3-7;0-2,1-3",",,,,,,,,,","0;0;0;{c0:100.{g0:103.105.102}},{c0:100.{g0:105.103}}|0;0;0;{c0:100.{g0:104.102}},{c0:100.{g0:103}}|0;0;0;{c0:100.{g0:101.104}},{c0:100.{g0:106.102.103}}|0;0;0;{c2:{g1:112}},{c0:100.{g0:105.101.102}},{c0:100.{g0:106.104}}|0;0;0;{c0:100.{g0:104}},{c0:100.{g0:102.105}}|0;0;0;{c0:100.{g0:103}},{c2:{g1:112}}|0;0;0;{c0:100.{g0:105.102.103}}|0;0;0;{c0:100.{g0:101.104}},{c0:100.{g0:105.104}}|0;0;0;{c0:100.{g0:103.102}},{c0:100.{g0:105.102.104}},{c2:{g1:112}.{g2:16}}|0;0;0;{c0:100.{g0:103}},{c0:100.{g0:105.102}},{c0:100.{g0:104.103}}|0;0;0;{c0:100.{g0:106}},{c0:100.{g0:105.103.102}},{c0:100.{g0:102}}|0;0;0;{c0:100.{g0:105.103}},{c2:{g1:112}.{g2:16}},{c0:100.{g0:103.105.101}}|0;0;0;{c0:100.{g0:102.105}},{c0:100.{g0:102.104}},{c0:100.{g0:104.102}}",,,0:32;1:49;2:100;3:100;4:100;5:100;6:36;13:100;16:100,0;0;0;0;0;0;0;0;0;0;0;0;0,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":9},""keyframes"":[{""x"":0,""y"":0.45233743929137626,""tangent"":0},{""x"":0.2573623559539052,""y"":0.8952272956038149,""tangent"":0},{""x"":0.3956466069142126,""y"":0.1644590326882911,""tangent"":0},{""x"":0.6773367477592829,""y"":0.8454021867686655,""tangent"":0},{""x"":1,""y"":1,""tangent"":2}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",
19,1_19,Freeze,Normal,,0,2,"0,13#1:3,5,0,6,5,0,6,0%0,0,1,-1,6,1,6,0,6,2,6%2,1,2,0,0,5,0,1,5$2-3,2-4;0-5,0-6,0-7$","#2:5,,,,#2:3,,,,,","0;0;0;{c2:{g1:112}}|0;0;0;{c0:100.{g0:102.105}}|0;0;0;{c0:100.{g0:106.105.102.101}}|0;0;0;{c0:100.{g0:106.105}},{c0:100.{g0:101.102}}|0;0;0;{c0:100.{g0:102.101.105.106}}|0;0;0;{c0:100.{g0:105.102.106.101}}|0;0;0;{c0:100.{g0:106}},{c0:100.{g0:106.105}}|0;0;0;{c0:100.{g0:105}},{c2:{g1:112}}|0;0;0;{c0:100.{g0:102.105}}",,,0:100;1:100;2:100;5:100;6:100;13:100;16:100,1;1;1;0;1;1;2;2;1,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":6},""keyframes"":[{""x"":0,""y"":0.09248943103751983,""tangent"":0},{""x"":0.2573623559539052,""y"":0.8952272956038149,""tangent"":0},{""x"":0.6875800256081946,""y"":0.9284440348272478,""tangent"":0},{""x"":1,""y"":0.34161497521326667,""tangent"":2}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",
20,1_20,Freeze,Hard,,0,2,"5,8,6,7,-1,0,2,1,2,3,0,6,1,4,1,6,6,0,1,3,6%3#1:3,7,1,5,3,8,6,0,13,-1,0,0,2#1:3,0,3,0,3,1,1,0,0,1%0,2,13,4,6,2,4,0,4,3,0,5,6,0,5,5,0,1,2,1,0,2,5,2,0%1#1:3,0,0,7,0,0,1#1:3,7,1,1,7,7,7,-1,0,1,4,16#1:2,0,7,0,4%0,3,0,8,5,0,0,-1,6,0,6,0,0,6,4,8,2,1,1,6,6$0-6,0-7,0-5;4-5,4-6$1-8,2-11;0-15,1-16,2-17","#2:3,#2:2,#2:1,#2:2,#2:3,,,,,","0;0;0;{c0:100.{g0:105.103}}|0;0;0;{c0:100.{g0:101.102.103}}|0;0;0;{c1:107.8},{c0:100.{g0:102}}|0;0;0;{c0:100.{g0:105.104.101}},{c1:107.8},{c0:100.{g0:102}}|0;0;0;{c0:100.{g0:104.102}},{c0:100.{g0:106.103.104.101}}|0;0;0;{c0:100.{g0:103.102.105.106}}|0;0;0;{c0:100.{g0:101.102.106}},{c0:100.{g0:103}}|0;0;0;{c0:100.{g0:102.104.105}},{c1:107}|0;0;0;{c0:100.{g0:106.104.101}},{c2:{g1:112}},{c1:107}|0;0;0;{c0:100.{g0:101.106.104}},{c0:100.{g0:104.103}},{c1:107.8}|0;0;0;{c0:100.{g0:106.102.104.105}},{c0:100.{g0:103.105.101.102}}|0;0;0;{c0:100.{g0:104.105.103.106}}|0;0;0;{c1:107.8},{c1:107},{c2:{g1:112}.{g2:16}},{c2:{g1:112}}|0;0;0;{c0:100.{g0:103.106.104.101}}|0;0;0;{c0:100.{g0:102.105.101.103}},{c0:100.{g0:103.104.105.101}},{c0:100.{g0:101.102.103.106}}|0;0;0;{c0:100.{g0:101.102.105.106}},{c0:100.{g0:103.101.105.102}}|0;0;0;{c2:{g1:112}.{g2:16}},{c0:100.{g0:101.102.105}},{c1:107},{c0:100.{g0:101.104.106.105}},{c0:100.{g0:103.102}}|0;0;0;{c0:100.{g0:103.102.106.101}},{c0:100.{g0:101.104.102}},{c0:100.{g0:106.105.104}},{c0:100.{g0:103}},{c0:100.{g0:102}}",,,0:100;1:73;2:51;3:69;4:57;5:67;6:50;7:100;8:100;13:100;16:100,1;2;3;3;2;2;2;3;3;2;1;4;1;3;2;5;5,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":15},""keyframes"":[{""x"":0,""y"":0.09248943103751983,""tangent"":0},{""x"":0.17541613316261206,""y"":0.6183346334834797,""tangent"":0},{""x"":0.3956466069142126,""y"":0.2861672412491506,""tangent"":0},{""x"":0.5518565941101152,""y"":0.67923198872644,""tangent"":0},{""x"":0.7131882202304738,""y"":0.13115579153979728,""tangent"":0},{""x"":0.8028169014084507,""y"":0.9781826417373362,""tangent"":0},{""x"":1,""y"":1,""tangent"":2}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":7},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",
